2;"[RTA]aaa[RTA-aaa]domain huawei[RTA-aaa-domain-huawei]authentication-scheme au1[RTA-aaa-domain-huawei]authentication-scheme au2Refer to the configuration output. RTA has been configured using AAA as shown, and associated with the ""huawei"" domain. For users in the huawei domain, which authentication-scheme will be used";au1;au2;au1 will be used. When au1 is deleted, users will use au2;au2 will be used. When au2 is deleted, users will use au1;;1
6;[RTA]acl 2001[RTA-acl-basic-2001] rule permit source 10.0.1.0 0.0.0.255[RTA-acl-basic-2001] rule deny source 10.0.1.0 0.0.0.255Refer to the configuration output. Which of the following statements regarding ACL 2001 iscorrect?;Packets from network 10.0.1.0/24 network will be denied.;Packets from network 10.0.1.0/24 network will be permitted.;Packets destined for network 10.0.1.0/24 will be denied.;Packets destined for network 10.0.1.0/24 will be permitted.;;1
36;[RTA]acl 2001[RTA-acl-basic-2001]rule 20 permit source 20.1.1.0 0.0.0255[RTA-ack-basic-2001]rule 10 deny source 20.1.1.0 0.0.0.255Refer to the configuration output. Which of the following statements is correct regarding the configuration of the ACL on RTA?;Packets from network 20.1.1.0/24 network will be denied.;Packets from network 20.1.1.0/24 network will be permitted.;Packets destined for network 20.1.1.0/24 will be denied.;Packets destined for network 20.1.1.0/24 will be permitted.;;0
24;&ltHuawei> system-view[Huawei]command-privilege level 3 view user saveRefer to the command output. What is the result of the shown command?;The command adjusts the save command of a user to privilege level 3;The command adjusts the save command in the user view to privilege level 3.;The command adjusts the user view command privilege level to 3, and saves the configuration.;The command adjusts the privilege level of a user to 3, and saves the configuration.;;1
30;&ltHuawei>Warning: Auto-Config is working. Before configuring the device, stop Auto-Config. If you perform configurations when Auto-Config is running, the DHCP, routing,DNS, and VTY configurations will be lost. Do you want to stop Auto-Config? [y/n]:When an administrator first initializes the router, a warning is displayed. Which statement regarding this warning is correct?;If Auto-Config is required, the administrator should select ‘y’.;If Auto-Config is not required, the administrator should select n, for which subsequent configuration of the DHCP server, routing, DNS server and VTY user configuration is lost.;When a device is started for the first time, the Auto-Config function is active.;When a device is started for the first time, the Auto-Config function is inactive.;;2
17;<Huawei> system-view[Huawei] user-interface console 0[Huawei-ui-console0] user privilege level 15[Huawei-ui-console0] authentication-mode password[Huawei-ui-console0] set authentication password cipher huawei2012[Huawei-ui-console0] quitRefer to the configuration output. The administrator configured the device using the commands in the configuration output. Regarding these commands, which statement is false;The administrator wishes to enable management through the console interface.;Following configuration, the administrator cannot manage the device remotely.;A user that logs-in through the console interface is assigned the highest privilege level.;The password of a user logged in through console is ‘cipher huawei2012’.;;3
29;<Huawei>display startupMainBoard:Startup system software: sd1:/ar2220-v200r003c00spc200.ccNext startup system software: sd1/ar2220-v200r003c00spc200.ccBackup system software for next startup: ullStartup saved-configuration file: nullNext startup saved-configuration file: nullStartup license file: nullNext startup license file: nullStartup patch package: nullNest startup patch package: nullStartup voice-files: nullNext startup voice-files: nullRefer to the display output. Which statement is false?;The current configuration file has not been saved.;The current startup system software is ar2220-v200r003c00spc200.cc;The next startup system software cannot be changed.;"The next startup system software can be changed by using the ""startup system software &ltstartup-softwarename>.cc"" command.";;2
111;<Quidway>display mac-addressMAC Address VLAN/VSI Learned-From Type5489-98ec-f018/- GE0/0/13 dynamicTotal items displayed =1Refer to the graphic. A switch attempts to forward a frame to the MAC destination 5489-98ec-f01. What operation will occur on the switch?;The switch will send a request to obtain the MAC address of 5489-98ec-f011.;The switch will report that the destination is unreachable and report this to the source.;The switch will flood the frame via all ports, with exception of the port on which the frame was received.;The switch will drop the frame because it does not have an entry in its MAC address table.;;2
95;<R2>debugging rip 1Sep 13 2013 11:07:20.974.1-05:13 R2 RIP/7/DBG: 6: 13414: RIP 1: Receiving v1 response on GigabitEthernet0/0/0 from 10.0.12.1 with 1 RTESep 13 2013 11:07:20.974.2-05:13 R2 RIP/7/DBG: 6: 13465 RIP 1: Receive response from 10.0.12.1 on GigabitEthernet0/0/0Sep 13 2013 11:07:20.974.3-05:13 R2 RIP/7/DBG: 6: 13476 Packet: Version 1, Cmd response.Length 24Sep 13 2013 11:07:20.974.4-05:13 R2 RIP/7/DBG: 6: 13527: Dest 1.0.0.0, Cost 1Sep 13 2013 11:07:20.974.5-05:13 R2 RIP/7/DBG: 6: 2688: RIP 1: Ignoring packet. This version is not configured.Refer to the debug output. Following configuration of R2, the administrator discovers that the behavior is not as expected and performs debugging. Based on the output from the debug, what is the source of the problem?;R2 has configured an ACL to block the route to network 1.0.0.0;R2 has enabled split horizon.;R1 is using authentication, however R2 is not.;R2 is operating using RIPv2, while R1 is using RIPv1.;;3
392;A company applies for a class C IP address for subnetting. It has six branches and the largest branch should have 26 hosts. What would be an appropriate subnet mask for the largest branch?;255.255.255.0;255.255.255.128;255.255.255.192;255.255.255.224;;2
269;"A DHCPv6 client sends a () packet to a DHCPv6 server to request an IPv6 address and network configuration parameters";Discover;Solicit;Advertise;Request;;3
8;A layer 2 LAN switch generates CAM table entries according to the ( ) of the received frame.;Source MAC address;Destination MAC address;Source IP address;Destination IP address;;0
132;"A network administrator wishes to assign an IP address to a router interface G0/0/0. Which of the following IP addresses can be assigned?";192.168.10.112/30;237.6.1.2/24;145.4.2.55/26;127.3.1.4/28;;2
358;A network administrator wishes to implement VLAN 10 to isolate certain users. It is common however for these users to often change their physical location. Which of the following VLAN implementations should be used?;Port based VLAN assignment.;Protocol based VLAN assignment.;MAC based VLAN assignment.;IP subnet based VLAN assignment.;;2
449;A network requires a solution to allow 50 private IP addresses to be translated, however only a single public address is available for use Which translation method can be used to support this requirement?;Static NAT;Dynamic NAT;Easy-IP;NAPT;;3
260;A port directly connects to a designated port on the peer device and is used to receive BPDU to monitor the changes occurring in the network. However, it does not forward any packet. Which of the following ports represents this port?;Root Port;Designated Port;Alternate Port;Disable Port;;2
425;A router has learned two routes for the same network with the same prefix. One route has been learned via OSPF with a metric of 4882, while the other route has been learned via RIPv2 with a metric of 4. Which route(s) will be found in the routing table?;The RIPv2 route;The OSPF and RIPv2 routes.;The OSPF route;Neither of these routes will be found in the routing table;;2
130;"A routing table consists of multiple elements. Which of the following statements is false? display ip routing-table Route Flags: R - relay, D - download to fib --------------------------------------------------------------------------- Routing Tables: Public Destinations : 4 Routes : 4 Destination/Mask Proto Pre Cost Flags NextHop Interface";Proto indicates the routing protocol used to learn the route;Destination/Mask indicates the address and mask length of a destination network orhost;NextHop indicates the local interface address of the route;Pre indicates the priority of the routing protocol;;2
83;A serial interface of a Huawei router currently using HDLC needs to assign PPP as the encapsulation protocol.Which of the following commands is required to be configured at the serial interface view?;link-protocol ppp;encapsulation ppp;enable ppp;address ppp;;0
113;A server is linked to port interface G0/0/1 of a switch. The administrator wishes to allow only this server to be linked to this interface on the switch.Which method can be used to achieve this?;Configure a static ARP entry using the server’s IP address and MAC address in the switch.;Configure a static MAC address binding entry of the server’s MAC address and the interface in the switch.;Configure the default gateway of the switch to be the same as the server’s IP address.;It is not possible to enable a single device to be associated with an interface.;;1
93;"A user can view the information for the RIP protocol on a router. What does ""Age time"" in the returned result of the command mean?";The interval of updating an RIP packet;The aging time of an RIP route;The suppression time of an RIP route;The time spent on switching between RIP routes;;1
63;A web server in a private network is required to provide HTTP services to public users. The network administrator is required to configure NAT on RTA. Which configuration should be used?;[RTA-Serial1/0/1]nat server protocol tcp global 202.10.10.1 www inside 192.168.1.1 8080;[RTA-Serial0/0/1]nat server protocol tcp global 192.168.1.1 www inside 202.10.10.1 8080;[RTA-Gigabitethernet0/0/1]nat server protocol tcp global 202.10.10.1 www inside 192.168.1.1 8080;[RTA- Gigabitethernet0/0/1]nat server protocol tcp global 192.168.1.1 www inside 202.10.10.1 8080;;0
301;"A Windows host is started for the first time. If the host obtains an IP address using DHCP, what is the source IP address of the first data packet sent by the host?";0.0.0.0;127.0.0.1;169.254.2.33;255.255.255.255;;0
70;According to OSI reference model, which layer is responsible for end to end error checking and flow control?;Physical layer;Data link layer;Network layer;Transport layer;;3
78;According to the default value of route preference on the VRP platform, which of the following represent the correct sequence for direct route, static route, RIP and OSPF if they are listed from high preference to low preference?;Direct, Static, RIP, OSPF;Direct, OSPF, Static, RIP;Direct, OSPF, RIP, Static;Direct, RIP, Static, OSPF;;1
426;According to the figure, which of the following statements is true?;The IP address mask of host A is different from that of host B. Therefore, host A and host B cannot communicate with each other.;Host A can successfully ping host B.;The broadcast addresses of host A and host B are the same.;Host A and host B can communicate with each other only when the IP addresses of host A and host B have the same masks;;1
181;According to the following command output on Router C, the source IPv6 address of the OSPFv3 LSUs sent by Router C is (). display ospfv3 interface GigabitEthernet0/0/0 is up, line protocol is up Interface ID 0x3 Interface MTU 1500 IPv6 Prefixes FE80::2E0:FCFF:FE48:4EC8 (Link-Local Address) 2003::1/64 2005::1/64 2009::1/64 OSPFv3 Process (1), Area 0.0.0.0, Instance ID 0 Router ID 10.0.3.3, Network Type BROADCAST, Cost: 1 Transmit Delay is 1 sec, State DROther, Priority 1 Designated Router (ID) 10.0.2.2 Interface Address FE80::2E0:FCFF:FEBB:6CF9 Backup Designated Router (ID) 10.0.1.1 Interface Address FE80::2E0:FCFF:FEC6:4A10 Timer interval configured, Hello 10, Dead 40, Wait 40, Retransmit 5 Hello due in 00:00:08 Neighbor Count is 3, Adjacent neighbor count is 2 Interface Event 2, Lsa Count 4, Lsa Checksum 0x173fe Interface Physical BandwidthHigh 0, BandwidthLow 1000000000;FE80::2E0:FCFF:FE48:4EC8;2003::1/64;2005::1/64;2009::1/64;;0
179;According to the following configuration of an interface, if all the displayed IPv6addresses are available, how many global unicast address prefixes are advertised by theinterface?interface GigabitEthernet0/0/0ipv6 enableipv6 address 2003::1/64ipv6 address 2004::1/64ipv6 address 2005::1/64ipv6 address 2009::1/64ospfv3 1 area 0.0.0.0;1;2;3;4;;3
443;According to the following configuration of Router C, how many global unicast address prefixes are advertised by Router C?;1;4;2;3;;3
180;According to the following configurations, how many IPv6 addresses have beenallocated by the DHCPv6 server?display dhcpv6 poolDHCPv6 pool: testAddress prefix: 3000::/64Lifetime valid 172800 seconds, preferred 86400 seconds1 in use, 0 conflictsExcluded-address 3000: : 11 excluded addressesInformation refresh time: 86400DNS server address: 2000::1Domain name: huaweiDomain name: huawei.comConflict-address expire-time: 172800Active normal clients: 1;0;1;2;3;;1
252;"According to the following DHCPv6 address pool configuration of a router, which of the following DNS server addresses can the host that uses DHCPv6 stateful autoconfiguration obtain? dhcpv6 pool test address prefix 3000::/64 excluded-address 3000::1 dns-server 2000::1 dns-domain-name huawei dns-domain-name huawei.com ";3000::1/64;2000::1/64;3000::2/64;3000::3000/64;;1
363;According to the VLAN frame format defined in IEEE 802.1Q, how many bits does a VLAN ID contain?;6;8;10;12;;3
94;After a command for displaying RIP route information is entered on a router, peer 192.168.1.2 on Serial1/0/0 is displayed in the returned result.What does 192.168.1.2 stand for?;Address of a RIP neighbor;Address of the port with the RIP protocol enabled;Next hop address of the RIP route;Transmission address of the RIP protocol;;0
324;"After a network administrator enables the traceroute function on a router, what is the value of the ""Protocol"" field in the IPv4 header of the data packet sent by the router?";1;2;6;17;;0
325;"After a network administrator enables the traceroute function on a router, what is the value of the ""TTL"" field in the IPv4 header of the first data packet sent by the router?";0;1;254;255;;1
365;After a switch receives a unicast data frame, it searches the MAC address table for the destination MAC address. Which of the following statements is false?;If the MAC address cannot be found, the switch floods the frame.;If the MAC address is found and the port corresponding to the MAC address in the MAC address table is not the port thro...;If the MAC address is found and the port corresponding to the MAC address in the MAC address table is the port through...; If the MAC address cannot be found, the switch discard the frame.;;0
7;An administrator connects two switches together in a local enterprise network. The ports of one switch support Fast Ethernet, while the ports of the other switch support Gigabit Ethernet. Hosts connected to one switch are able to communicate, however communication between the two switches fails.What is the possible reason for this?;The ports have disabled auto-negotiation.;One port is supporting auto-negotiation, while auto-negotiation is disabled on the port of the other switch.;The port of one switch is operating using half duplex mode, while the port of the otherswitch is using full duplex mode.;A Fast Ethernet port cannot communicate directly with a Gigabit Ethernet port.;;0
49;An administrator discovered he/she was unable to use TFTP to transfer files to the router.Which of the following describes the likely reason for this?;The TFTP service had been disabled on the router.;TCP port 69 of the server had been blocked.;UDP port 69 of the server had been blocked.;The username and password had been modified.;;2
25;An administrator has been requested to replace the configuration file of a router in the network. The administrator has been instructed that after logging into the router, he must first permanently erase the current configuration file config.zip from the system.Which command should he use to achieve this?;delete /force config.zip;delete /unreserved config.zip;reset config.zip;clear config.zip;;1
167;"An administrator wishes to configure a floating static route. In order to successfully achieve this, which operation should be performed? ";"The administrator is required to configure a different preference values for the primary static route and floating static route. ";"The administrator is only required to configure two static routes. ";"The administrator is required to configure different route tags for the primary static route and floating static route.";"The administrator is required to configure a different costs metric for the primary static route and floating static route";;0
48;An administrator wishes to implement new features in the network, but the VRP version of one AR2200 router is out of date. The administrator needs to upgrade the VRP software.Which of the following options regarding file transfer is false?;The AR2200 router can function as a TFTP client to support the upgrade.;The AR2200 router can function as the TFTP server to support the upgrade.;The AR2200 router can function as the FTP server to support the upgrade.;The AR2200 router can function as an FTP client to support the upgrade.;;1
14;An administrator wishes to manage the router in the remote branch office, which method can be used?;Telnet;FTP;Console Connection;DHCP;;0
31;An AR2200 router in the company network cannot boot. In order to resolve this, the administrator wishes to update the VRP software.What should he/she do?;The administrator should use a console cable to connect the router and host, and directly upgrade the device.;The administrator should use FTP to transfer the VRP software, by configuring the AR2200 router as an FTP client.;The administrator should use DHCP to boot the AR2200, and then use the AR2200 router as a TFTP client to download the VRP software from the server;The administrator should use the telnet command on the client to remote access the device, and upgrade the VRP software;;1
102;An ARP request is sent by host A to obtain the destination MAC address of host D.Which statement is true about regarding the ARP reply?;The destination MAC address of this frame is the MAC address of Switch A.;The destination IP address of this packet is the VLANIF1 IP address of Switch A.;The destination MAC address of this frame is the MAC address of Host A.;The destination IP address of this packet is a broadcast IP address.;;2
158;"An authentication router has been configured with two domains named “Area1” and “Area2”, following which a user is created with the username “huawei” and the password “hello” for authentication. Which domain does this user belongs to?";Area1 domain;Area2 domain;default domain;default_admin domain;;2
39;"An authenticator router has been configured with two domains named ""Area1"" and ""Area2"", following which a user is created with the username ""huawei"" and the password ""hello"" for authentication. Which domain does this user belongs to?<choice ident=""A""><choice ident=""B""><choice ident=""C""><choice ident=""D"">";Area1 domain;Area2 domain;default domain;default_admin domain;;2
209;An authenticator router has been configured with two domains named “Area1” and “Area2” , following which a user is created with the username “huawei” and the password “ hello” , for authentication. Which domain does this user belongs to?;Area1 domain;Area2 domain;default domain;default_admin domain;;2
241;An end system is unable to communicate with a DHCP server following the startup process. Which IP address may be used by the client?;0.0.0.0;127. 0.0.1;169. 254. 2.33;255. 255. 255. 255;;2
68;An Ethernet port can work one of three duplex modes, whereas an Optical Ethernet port only supports one single mode.Which of the following represents this mode?;Full-duplex;Half-duplex;Auto-negotiation;Simplex;;0
75;An OSPF area is a collection of a group of routers and networks. OSPF defines that routers that have the same ( ) belong to the same OSPF area.;neighbors;LSDB;LSA;adjacency;;1
278;"Apply the following ACL to SNMP. Which of the following statements is/are false?acl number 2000 rule 5 permit source 192.168.1.2 0 rule 10 permit source 192.168.1.3 0 rule 15 permit source 192.168.1.4 0 ";The device whose IP address is 192.168.1.2 can use the SNMP service;The device whose IP address is 192.168.1.3 can use the SNMP service;The device whose IP address is 192.168.1.4 can use the SNMP service;The device whose IP address is 192.168.1.5 can use the SNMP service;;3
256;"Apply the following ACL to Telnet. Which of the following statements is/are true? acl number 2000acl number 2000 rule 5 deny source 172.16.105.3 0 rule 10 deny source 172.16.105.4 0 rule 15 deny source 172.16.105.5 0 rule 20 permit";The device whose IP address is 172.16.105.3 can use the Telnet service;"The device whose IP address is can use the Telnet service. ";The device whose IP address is 172.16.1055 can use the Telnet service;The device whose IP address is 172.16.105.6 can use the Telnet service.;;3
171;As defined in IEEE 802.1D, how many bits does the bridge priority contain?;2;4;8;16;;3
268;"As shown in the figure the configuration of Router A is as follows. Which of thestatements is/are incorrect?acl number 2000 rule 5 deny source 200.0.12.0 0.0.0.7 rule 10 permit source 200.0.12.0 0.0.0.15 int gi0/0/1 traffic filter outbound acl2000 ";The host with the source IP address 200.0.12.2 cannot access the Internet.;The host with the source IP address 200.0.12.4 cannot access the Internet.;The host with the source IP address 200.0.12.6 cannot access the Internet.;The host with the source IP address 200.0.12.8 cannot access the Internet.;;3
479;As shown in the figure, all hosts can communicate with each other. Which of the following is true about the mapping relationships between MAC addresses andports on SWB?;MAC-A G0/0/2MAC-B G0/0/2MAC-C G0/0/3;MAC-A G0/0/3MAC-B G0/0/3MAC-C G0/0/1;MAC-A G0/0/1MAC-B G0/0/1MAC-C G0/0/3;MAC-A G0/0/1MAC-B G0/0/2MAC-C G0/0/3;;1
389;As shown in the figure, assume that the MAC address table of SWA is as follows. Host A sends a data frame whose destination MAC address is MAC-B to SWA. Which of the following statements is true?;SWA discards the data frame;SWA forwards the data frame only through G0/0/2.;SWA forwards the data frame only through G0/0/3.;SWA floods the data frame.;;1
418;As shown in the figure, host C is required to communicate with only host A or host B. Which of the following command can be run on G0/0/3 of SWB to meet the requirement?;port link-type trunk;speed 100;mtu 2000;mac-limit maximum 1;;3
361;As shown in the figure, STP is enabled on both switches. Which port is in Blocking state? ;G0/0/3 of SWA;G0/0/2 of SWA;G0/0/3 of SWB;G0/0/2 of SWB;;2
386;As shown in the figure, the configuration of Router A is as follows. Which of the following statements is/are incorrect? acl number 2000 rule 5 deny source 200.0.12.0 0.0.0.7 rule 10 permit source 200.0.12.0 0.0.0.15  interface GigabitEthernet0/0/1 traffic-filter outbound acl 2000 ;The host with the source IP address 200.0.12.2 cannot access the Internet.;The host with the source IP address 200.0.12.4 cannot access the Internet.;The host with the source IP address 200.0.12.6 cannot access the Internet.;The host with the source IP address 200.0.12.8 cannot access the Internet.;;3
355;"As shown in the figure, the MAC address of the switch is marked. The ""stp root secondary"" command is run on SWD. Which of the following switches will become the root bridge of the network?";SWA;SWB;SWC;SWD;;0
288;"As shown in the figure, the MAC address table of SWA is as follows. The switch cannot learn the MAC address of HOST A. Which of the following reasons is possible?";MAC address learning is disabled on G0/0/1 of the switch.;"MAC address learning is disabled in the VLAN to switch HOST A belongs ";G0/0/1 of the switch is configured as an access interface;HOST A does not send any data fame;;3
362;As shown in the figure, which of the following network devices can be used to implement communication between host A and host B?;Hub;Layer 2 switch;Router ;;;2
410;As shown in the figure, which of the following ports will be in blocking state?;G0/0/3 on SWB;G0/0/1 on SWC;G0/0/2 on SWC;G0/0/3 on SWA;;1
414;As shown in the figure, which of the following ports will become the designated port?;G0/0/3 on SWB;G0/0/1 on SWC;G0/0/2 on SWC;G0/0/1 on SWB;;3
477;As shown in the following figure, switch A and router A are connected through two links. The two links are aggregated in manual load balancing mode. The aggregation port number is 1. The aggregated link needs to carry VLAN tag 100. Switch A uses the trunk link. (в тесте все вопросы заданы картинками);interface Eth-Trunk1 ip address 10.0.12.1 255.255.255.0;interface Eth-Trunki mode lacp-static port link-type trunk port trunk allow-pass vian 100 interface Gigabitéthernet0/0/1 eth-trunk 1 interface GigabitEthernet0/0/2 eth-trunk 1;interface Eth-Trunk1 port link-type trunk port trunk allow-pass vlan 100 interface GigabitEthernet0/0/1  eth-trunk 1 interface GigabitEthernet0/0/2 eth-trunk 1;interface Vianif100 ip address 10.0.12.1 255.255.255.0;;1
263;As shown in the following figure, the IPsec tunnel mode is used. Which of the following is the ESP authentication scope?;1;2;3;4;;1
159;"As shown in the following figure, which of the following is the authentication scope of the AH protocol in IPsec tunnel mode? ";1;2;3;4;;3
504;As shown in the following figure, which position should the AH header in IPsec transmission mode be inserted into?;2;3;4;1;;0
229;As specified by the RSTP protocol, when a root port fails, which type of port will function as a new root port and enters the forwarding state without any delay?;Forwarding Port;Alternate Port;Backup Port;Edge Port;;1
79;Assume that the router has learnt the best route to the same destination by using RIP, OSPF and Static Route respectively. By default, the Huawei router will select the route learnt via ( ) as the best route.;RIP;OSPF;RIPv2;Static route;;1
190;By default the interval at which OSPFv3 hello packets are sent on P2P links in seconds?;10;20;30;40;;0
267;By default, the dead time of an OSPFv3 adjacency on an Ethernet link is () second.;10;20;30;40;;3
349;By default, the interval at which OSPFv3 hello packets are sent on Ethernet links in () seconds?;10;20;30;40;;0
77;Destination/Mask protocol pre Cost Nexthop Interface9.0.0.0/8 OSPF 10 50 1.1.1.1 Serial 1/0/09.1.0.0/16 RIP 100 5 2.2.2.2 Ethernet 0/0/1Refer to the graphic. Which of the following statements is correct when this router forwardsthe packet to the destination host 9.1.4.5?;The router selects the first entry to match the destination address of the packet because the preference of OSPF is higher than the preference of RIP.;The router selects the second entry to match the destination address of the packet because the cost of RIP is lower than that of OSPF.;The router selects the second entry to match the destination address of the packet because the cost of RIP is lower than that of OSPF.;The router selects the second entry to match the destination address of the packetbecause the router will match the most specific address.;;3
247;DHCPv6 packets are carried using ( ) packets.;UDP;TCP;HTTP;FTP;;0
239;During device startup, the device selects a VRP version file depends on the configuration saved in the () storage medium.;Flash memory;SD card;NVRAM;USB;;0
244;During PPP link setup, which of the following phases can be directly converted from the Dead phase?;Authenticate;Establish;Network;Terminate;;1
115;During STP calculation, the port cost is associated with port bandwidth. Which ofthe following statements about the relation between port cost and port bandwidth is true?;Port cost decreases when port bandwidth increases;Port cost increases when port bandwidth increases;Port cost is consistent with port bandwidth;Port cost varies randomly according to port bandwidth;;0
4;eSight supports the backup of configuration files and network traffic analysis.;A basic ACL value ranges from 1000-2999;An advanced ACL value ranges from 3000-4000;A layer 2 ACL value ranges from 4000-4999;An interface ACL value ranges 1000-2000;;2
305;"Ethernet optical interfaces can work only in () mode. ";Full-duplex;Half-duplex;Auto-negotiation;Simplex;;0
436;If the EUI-64 address 78BC-FEFF-FFFE-EFAB is calculated based on a MAC address, what is the MAC address?;7ABC-FEFE-EFAB;78BC-FEFE-EFAB;7ABC-FFFE-EFAB;78BC-FFFE-EFAB;;0
335;f the MAC address of an interface is 00EO-FCEF-OFEC, the corresponding EUI-64 address is ().;02E0-FCFF-FEEF-OFEC;02E0-FCEF-FFFE-OFEC;7ABC-FFFE-EFAB;00EO-FCEF-FFFE-OFEC;;0
400;For which layer of the OSI reference model does the HDLC protocol define the encapsulation format?;Physical layer;Data link layer;Network layer;Transport layer;;1
138;Forward Delay timer of STP?;"Improve the STP convergence speed. ";"Reduce the interval for sending BPDUs. ";Prevent temporary loops.;Delay is required when a port transitions between Blocking and Disabled.;Improve the configuration BPDU lifetime, ensuring that the configuration BPDUs canbe forwarded to more switches.;2
50;FTP may be used to upgrade a router's VRP image.Which of the following transmission modes should be used to achieve this?;binary mode;ASCII mode;byte mode;letter mode;;0
112;Host A has been connected to switch A and configured with an IP address.When Host A initially forwards a frame, what action will be taken by Switch A?;Switch A will drop this frame.;Switch A will attempt to flood the frame to all ports except for the G0/0/1 interface.;Switch A will forward the frame via ports G0/0/1, G0/0/2 and G0/0/3.;Switch will receive this frame before returning the frame to G0/0/1.;;1
101;Host A wishes to send data to host C, and generates an ARP request to obtain the destination MAC address.Which statement is true?;The destination IP address of the ARP request is Host C.;The destination MAC address of this ARP request is Host C.;The destination IP address for the ARP request is a broadcast IP address.;The destination MAC address of this frame is the MAC address of G0/0/0 on RTA.;;0
250;How does a trunk port process data frames?;If the VLAN ID is the same as the PVID of the port and the port allows traffic with this VLAN ID to pass through, the port removes the VLAN tag from the data frames and forwards them.;If the VLAN ID is different from the PVID of the port. the port removes the VLAN tag from the data frames and then forwards them;If the VLAN ID is different from the PVID of the port, the port replaces the VLAN tag of the data frames and then forwards them;When the VLAN ID is different from the PVID of the port. the port discards the data frames.;;3
